phaseID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,average
0,0,201,3864,3918,93,46,31,19,2909,1020,3,12,3851,8,4,2,7,3,2,1,0,0,4,0,0,0,2,0,0,0,0,0,0,6.25
1,0,0,3925,3973,30,0,0,0,2966,989,0,0,3944,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31393
2,0,0,3923,3970,31,0,0,0,2966,988,0,0,3938,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31632
3,0,0,3922,3977,30,0,0,0,2968,986,0,0,3945,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31433
4,0,0,3923,3970,31,0,0,0,2965,989,0,0,3939,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31632
5,0,0,3924,3970,31,0,0,0,2966,989,0,0,3939,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31512
6,0,524,2943,2015,15,0,1503,376,1487,513,21,0,1972,0,0,9,0,0,0,1858,0,0,0,0,0,0,0,0,0,0,0,0,0,7.55515
7,0,918,1896,60,0,0,2814,951,0,30,30,0,0,0,0,0,0,0,0,3736,0,0,0,0,0,0,0,0,0,0,0,0,0,9.58313
8,0,997,1905,58,0,0,2902,865,0,29,29,0,0,0,0,0,0,0,0,3737,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5039
9,0,811,1689,57,0,0,2494,897,0,27,28,0,0,6,0,351,0,0,0,3364,0,0,0,1,0,0,0,1,0,0,0,0,0,10.2817
10,0,0,52,104,0,0,0,0,0,0,0,0,0,52,0,6594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7016
11,0,117,289,97,0,0,361,120,2,3,4,0,0,45,0,5753,0,0,0,477,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7589
12,0,907,1943,60,0,0,2850,914,0,30,30,0,0,0,0,0,0,0,0,3734,0,0,0,0,0,0,0,0,0,0,0,0,0,9.55292
13,0,674,1886,58,0,0,2560,1209,0,29,29,0,0,0,0,0,0,0,0,3739,0,0,0,0,0,0,0,0,0,0,0,0,0,9.81932
14,0,646,1882,60,0,0,2528,1238,0,30,30,0,0,0,0,0,0,0,0,3736,0,0,0,0,0,0,0,0,0,0,0,0,0,9.85222
15,0,186,546,85,0,0,695,327,0,8,9,0,0,37,0,4498,0,0,0,1014,0,0,0,1,0,0,0,1,0,0,0,0,0,13.5007
16,0,0,52,104,0,0,0,0,0,0,0,0,0,52,0,6594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7016
17,0,475,1463,69,0,0,1927,923,2,22,23,0,0,12,0,1608,0,0,0,2826,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6952
18,0,506,1901,58,0,0,2406,1359,0,29,29,0,0,0,0,0,0,0,0,3736,0,0,0,0,0,0,0,0,0,0,0,0,0,9.97606
19,0,501,1920,60,0,0,2421,1344,0,30,30,0,0,0,0,0,0,0,0,3736,0,0,0,0,0,0,0,0,0,0,0,0,0,9.95818
20,0,367,1210,69,0,0,1559,863,0,19,20,0,0,18,0,2050,0,0,0,2402,0,0,0,1,0,0,0,1,0,0,0,0,0,11.6564
21,0,0,52,104,0,0,0,0,0,0,0,0,0,52,0,6594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7016
22,0,732,716,436,197,189,970,29,25,481,20,24,2,54,11,4058,7,0,5,1136,0,0,8,0,0,0,4,0,0,0,0,0,0,10.9842
23,0,0,1851,1018,0,0,2810,0,0,849,29,0,0,0,0,0,0,0,0,3601,0,0,0,0,0,0,0,0,0,0,0,0,0,9.84446
24,0,0,1826,985,0,0,2755,0,0,904,28,0,0,0,0,0,0,0,0,3604,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89903
25,0,0,1821,979,0,0,2744,0,0,915,28,0,0,0,0,0,0,0,0,3602,0,0,0,0,0,0,0,0,0,0,0,0,0,9.91179
26,0,2,419,282,0,0,574,0,0,203,8,0,0,40,0,4894,0,0,0,763,0,1,0,0,0,0,0,0,1,0,0,0,0,13.914
27,0,0,52,104,0,0,0,0,0,0,0,0,0,52,0,6594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7016
28,0,0,1524,782,0,0,2232,0,2,756,24,0,0,9,0,1212,0,0,0,2940,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5474
29,0,0,1829,796,0,0,2569,0,0,1090,28,0,0,0,0,0,0,0,0,3603,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0857
30,0,0,1855,706,0,0,2505,0,0,1155,28,0,0,0,0,0,0,0,0,3604,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1492
31,0,2,1279,603,0,0,1805,0,0,790,22,0,0,14,0,1617,0,0,0,2553,0,1,0,0,0,0,0,0,1,0,0,0,0,11.5115
32,0,0,52,104,0,0,0,0,0,0,0,0,0,52,0,6594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7016
33,0,0,632,306,0,0,814,0,2,355,10,0,0,35,0,4489,0,0,0,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,12.832
34,0,0,1852,676,0,0,2472,0,0,1189,28,0,0,0,0,0,0,0,0,3604,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1823
35,0,0,1825,637,0,0,2406,0,0,1252,28,0,0,0,0,0,0,0,0,3602,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2564
36,0,0,1820,645,0,0,2408,0,0,1252,29,0,0,0,0,0,0,0,0,3602,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2501
37,0,2,410,218,0,0,501,0,0,252,7,0,0,40,0,4934,0,0,0,742,0,1,0,0,0,0,0,0,0,0,0,0,0,14.0706
38,0,0,52,104,0,0,0,0,0,0,0,0,0,52,0,6594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7016
