phaseID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,average
0,0,194,3851,3904,86,47,25,11,15,5,3908,19,3853,12,5,8,14,7,4,9,8,3,7,3,0,0,2,0,0,0,0,0,0,6.25
1,0,0,3925,3973,30,0,0,0,0,0,3955,0,3944,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31393
2,0,0,3923,3970,31,0,0,0,0,0,3954,0,3938,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31632
3,0,0,3922,3976,30,0,0,0,0,0,3953,0,3945,1,0,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.31433
4,0,0,3923,3970,31,0,0,0,0,0,3954,0,3939,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31632
5,0,0,3924,3970,31,0,0,0,0,0,3955,0,3939,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31512
6,0,524,2943,2015,15,0,1055,822,1,6,2000,0,1972,0,1,9,0,0,1,1871,0,0,1,0,0,0,0,0,0,0,0,0,0,7.55515
7,0,918,1896,60,0,0,1870,1895,0,0,30,0,0,0,0,0,0,0,0,3766,0,0,0,0,0,0,0,0,0,0,0,0,0,9.58313
8,0,997,1905,58,0,0,1957,1810,0,0,29,0,0,0,0,0,0,0,0,3766,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5039
9,0,810,1686,57,0,0,1607,1783,0,0,26,0,0,5,0,353,0,1,2,3391,0,1,0,1,0,0,1,1,0,0,0,0,0,10.2828
10,0,0,19,104,0,0,0,0,0,0,0,0,0,52,0,6627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7016
11,0,117,289,97,0,0,242,239,2,0,4,0,0,45,0,5753,0,0,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7589
12,0,907,1943,60,0,0,2114,1650,0,0,30,0,0,0,0,0,0,0,0,3764,0,0,0,0,0,0,0,0,0,0,0,0,0,9.55292
13,0,674,1886,58,0,0,1919,1850,0,0,29,0,0,0,0,0,0,0,0,3768,0,0,0,0,0,0,0,0,0,0,0,0,0,9.81932
14,0,646,1882,60,0,0,1946,1820,0,0,30,0,0,0,0,0,0,0,0,3766,0,0,0,0,0,0,0,0,0,0,0,0,0,9.85222
15,0,186,545,85,0,0,521,501,0,0,9,0,0,37,0,4499,0,0,0,1022,0,0,0,1,0,0,0,1,0,0,0,0,0,13.5007
16,0,0,52,104,0,0,0,0,0,0,0,0,0,52,0,6594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7016
17,0,475,1463,69,0,0,1480,1370,2,0,23,0,0,12,0,1608,0,0,0,2848,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6952
18,0,506,1901,58,0,0,1906,1859,0,0,29,0,0,0,0,0,0,0,0,3765,0,0,0,0,0,0,0,0,0,0,0,0,0,9.97606
19,0,501,1920,60,0,0,1936,1829,0,0,30,0,0,0,0,0,0,0,0,3766,0,0,0,0,0,0,0,0,0,0,0,0,0,9.95818
20,0,367,1209,69,0,0,1255,1167,0,1,20,0,0,18,0,2051,0,0,0,2420,0,0,0,1,0,0,0,1,0,0,0,0,0,11.6564
21,0,0,52,104,0,0,0,0,0,0,0,0,0,52,0,6594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7016
22,0,730,704,423,200,191,696,27,20,518,243,32,4,54,13,4058,11,2,10,1152,3,0,9,0,0,0,4,0,0,0,0,0,0,10.9842
23,0,0,1851,1018,0,0,1957,0,0,1673,29,0,0,0,0,0,0,0,0,3630,0,0,0,0,0,0,0,0,0,0,0,0,0,9.84446
24,0,0,1826,985,0,0,1875,0,0,1756,28,0,0,0,0,0,0,0,0,3632,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89903
25,0,0,1821,979,0,0,1841,0,0,1790,28,0,0,0,0,0,0,0,0,3630,0,0,0,0,0,0,0,0,0,0,0,0,0,9.91179
26,0,1,405,282,0,0,382,0,0,388,8,0,0,40,0,4908,0,0,0,770,0,0,0,0,0,0,0,0,2,0,0,0,0,13.9159
27,0,0,52,104,0,0,0,0,0,0,0,0,0,52,0,6594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7016
