Hist,count
12492,370
1254a,266
14952,256
12a92,255
2,253
14a52,248
10000,243
2a492,243
25252,241
29492,234
12a4a,231
124aa,231
2000,228
25492,227
80,225
15492,220
24a92,220
1494a,218
924a,218
24a4a,218
15292,217
1492a,217
14a92,214
2492a,213
400,212
2924a,212
12552,211
1294a,211
24952,209
10,209
1252a,208
15252,207
12a52,206
25292,205
a492,205
1292a,202
9252,201
12952,200
2524a,200
9292,198
14a4a,198
24a52,197
29252,197
2494a,192
9492,188
1524a,187
29292,180
0,164
50a,154
252aa,151
42a,149
10a80,147
14050,146
2a02,146
14042,144
2850,141
3ffff,140
2a000,139
10142,138
152aa,138
154aa,138
14210,137
142,135
2a552,135
10842,135
4210,134
150,134
1010,134
952a,134
10a02,132
a952,132
29552,131
2142,130
aa4a,130
2a94a,129
400a,128
2aa52,128
1554a,128
2954a,127
2000a,127
14aaa,126
5400,126
94aa,125
25552,125
210a,125
542,125
5080,124
4050,124
20202,124
12aaa,123
2554a,122
1010a,122
21080,122
50,121
20042,120
a80,119
280a,119
2a10,119
8400,119
14280,118
2a4aa,118
294aa,118
20280,117
2aa92,117
5010,117
a000,116
a92a,116
21400,116
20050,116
15552,115
14202,115
842,115
21010,115
15080,115
1400,115
15400,115
a,115
4042,115
28400,114
2a,114
2a52a,114
10a10,114
10a,113
a54a,113
4202,113
10850,113
80a,112
aa52,112
2842,110
1002a,110
1002,110
292aa,110
8002,109
8010,109
a94a,108
202,108
28002,108
21002,107
15002,107
4280,106
2a80,106
aa92,106
9552,106
2552a,105
2a92a,104
15010,104
10150,104
280,104
550,104
8080,103
20210,103
2a54a,102
a02,102
1080a,101
24aaa,101
2952a,100
2a952,99
a10,98
2150,98
a52a,98
1552a,98
1400a,98
a4aa,97
1542a,96
254aa,96
954a,96
28010,96
42,95
aa,95
5002,94
850,94
202a,94
2aa4a,91
a552,91
1080,90
92aa,90
28080,82
150aa,82
aaaa,81
210,80
21542,79
2aaaa,78
10aa,78
2aa80,77
42aa,77
842a,76
aa10,75
2aa10,74
2a10a,73
a150,73
15542,72
a80a,72
10aaa,71
210aa,70
a02a,70
5542,70
28550,69
a842,68
2a150,68
28542,68
15550,66
1542,66
150a,66
142aa,64
2a842,63
5550,63
a142,61
142a,60
850a,60
21550,60
202aa,60
50aa,59
8550,59
542a,59
80aa,58
8542,57
a850,56
2aa02,56
2150a,54
280aa,54
1550a,52
2842a,52
15555,51
2aaa,51
aaa,51
aa80,51
1550,50
2a142,49
2a02a,48
2aa,47
550a,46
2a850,46
a10a,45
2850a,44
2a80a,37
2142a,34
aa02,34
26666,17
292ea,15
14925,15
12527,13
14001,12
24949,12
710,12
9752,11
36db6,11
40c0,10
33331,10
12525,9
24955,9
12549,9
14949,9
32952,9
6202,9
40,9
12a5e,9
149d2,8
280e2,8
124ba,8
1e52a,8
39552,7
3a92a,7
470,7
35252,7
30850,7
94f2,7
14eaa,7
3a952,7
ea4a,7
1293a,7
428,6
12752,6
29752,6
29e52,6
2aaab,6
10aa3,6
421,6
28c42,6
12497,6
2a4f2,6
501,6
540,6
