startPC,control_pc,count
800005e0,800005f0,30552
800005a2,800005b8,603
80000154,80000174,125
80000468,8000046a,54
800007fe,800007fe,21
80001210,8000121c,20
800008b2,800008cc,19
80001240,8000126a,12
80000644,80000646,12
80001210,80001216,9
800005f4,800005f4,8
800004ae,800004b2,7
80000f4e,80000f68,6
800005fa,800005fe,6
800005e0,800005f4,6
80001382,8000139a,5
800012e0,800012f0,4
80000776,8000077e,4
80000542,80000572,3
80000500,80000530,3
800004e0,800004f2,3
800011ba,800011ba,3
8000121a,8000121c,3
800006cc,800006de,3
80001050,8000107c,3
80001474,80001482,3
80000ee0,80000f16,2
800018a4,800018ae,2
8000142e,80001438,2
8000139e,800013a0,2
800012be,800012c4,2
8000126e,8000127e,2
80000178,8000017c,2
8000189e,800018ae,2
800004b6,800004c4,2
800012d0,800012dc,1
80001102,80001112,1
800012be,800012cc,1
800017f2,800017f6,1
800017c0,800017c4,1
8000179c,800017ac,1
800012be,800012dc,1
800012c8,800012cc,1
800012c8,800012f0,1
80001450,80001456,1
80001790,80001794,1
800016b2,800016b4,1
8000134c,8000135a,1
800015f8,80001616,1
800015f8,800015fe,1
800015e6,800015ea,1
8000140e,8000141a,1
800015a8,800015ba,1
80001422,80001438,1
800014a4,800014ac,1
8000145e,80001462,1
800009b8,800009bc,1
80000154,8000017c,1
80000340,80000346,1
800003b8,800003ba,1
800003be,800003c8,1
8000046e,80000492,1
80000520,80000530,1
80000560,80000572,1
800007b0,800007dc,1
800007e6,800007fc,1
8000084a,8000084e,1
800008d2,800008d6,1
800008f4,80000902,1
80000972,8000097a,1
80001240,8000127e,1
80000a0a,80000a0e,1
80000aa6,80000aac,1
80000f20,80000f24,1
80000f6e,80000f74,1
8000101c,80001020,1
80001080,80001084,1
800010be,800010d0,1
80001102,80001120,1
80001112,80001112,1
80001150,80001154,1
80001166,8000116a,1
80001208,8000120e,1
80001220,80001232,1
