phaseID,numBranches,numEverTakenBranches,totalMispredicts,topMispPC_0,type_0,misCnt_0,topMispPC_1,type_1,misCnt_1,topMispPC_2,type_2,misCnt_2,topMispPC_3,type_3,misCnt_3,topMispPC_4,type_4,misCnt_4
0,113,80,89,80000174,0,29,800008cc,0,11,80001216,0,6,8000121c,0,5,800007fe,0,5
1,5,4,19,80000174,0,19,80000146,0,0,80000150,2,0,8000017c,0,0,800006a8,4,0
2,5,4,15,80000174,0,15,80000146,0,0,80000150,2,0,8000017c,0,0,800006a8,4,0
3,8,6,24,80000174,0,23,8000017c,0,1,8000012c,0,0,80000146,0,0,80000150,2,0
4,5,4,16,80000174,0,16,80000146,0,0,80000150,2,0,8000017c,0,0,800006a8,4,0
5,5,4,15,80000174,0,15,80000146,0,0,80000150,2,0,8000017c,0,0,800006a8,4,0
6,15,12,999,800005f0,0,972,800005b8,0,18,80000174,0,8,8000017c,0,1,80000146,0,0
7,7,6,1892,800005f0,0,1862,800005b8,0,30,8000059a,0,0,800005a0,1,0,800005f4,0,0
8,7,6,1971,800005f0,0,1942,800005b8,0,29,8000059a,0,0,800005a0,1,0,800005f4,0,0
9,22,16,1733,800005f0,0,1695,800005b8,0,27,8000046a,0,4,80000572,0,2,80000346,0,1
10,5,4,33,8000046a,0,33,8000045c,0,0,80000462,1,0,80000492,0,0,800004b2,0,0
11,17,12,240,800005f0,0,236,800005b8,0,3,800004b2,0,1,800004c4,0,0,800005fe,0,0
12,7,6,1673,800005f0,0,1643,800005b8,0,30,8000059a,0,0,800005a0,1,0,800005f4,0,0
13,7,6,1344,800005f0,0,1315,800005b8,0,29,8000059a,0,0,800005a0,1,0,800005f4,0,0
14,7,6,1258,800005f0,0,1228,800005b8,0,30,8000059a,0,0,800005a0,1,0,800005f4,0,0
15,22,16,369,800005f0,0,358,800005b8,0,8,800005fe,0,1,8000046a,0,1,80000572,0,1
16,5,4,0,8000045c,0,0,80000462,1,0,8000046a,0,0,80000492,0,0,800004b2,0,0
17,17,12,945,800005f0,0,922,800005b8,0,22,800004b2,0,1,800004c4,0,0,800005fe,0,0
18,7,6,1035,800005f0,0,1006,800005b8,0,29,8000059a,0,0,800005a0,1,0,800005f4,0,0
19,7,6,1016,800005f0,0,986,800005b8,0,30,8000059a,0,0,800005a0,1,0,800005f4,0,0
20,22,16,690,800005f0,0,669,800005b8,0,18,800005fe,0,1,8000046a,0,1,80000572,0,1
21,5,4,0,8000045c,0,0,80000462,1,0,8000046a,0,0,80000492,0,0,800004b2,0,0
22,153,103,672,800005f0,0,575,800005f4,0,14,8000121c,0,9,800005b8,0,8,800007fe,0,8
23,7,5,1842,800005f0,0,1813,800005b8,0,29,8000059a,0,0,800005a0,1,0,800005f4,0,0
24,7,5,1837,800005f0,0,1809,800005b8,0,28,8000059a,0,0,800005a0,1,0,800005f4,0,0
25,7,5,1854,800005f0,0,1826,800005b8,0,28,8000059a,0,0,800005a0,1,0,800005f4,0,0
26,22,14,410,800005f0,0,385,8000046a,0,14,800005b8,0,7,80000530,0,2,800005fe,0,1
27,5,4,0,8000045c,0,0,80000462,1,0,8000046a,0,0,80000492,0,0,800004b2,0,0
28,17,11,1351,800005f0,0,1327,800005b8,0,23,800004b2,0,1,800004c4,0,0,800005fe,0,0
29,7,5,1473,800005f0,0,1445,800005b8,0,28,8000059a,0,0,800005a0,1,0,800005f4,0,0
30,7,5,1405,800005f0,0,1377,800005b8,0,28,8000059a,0,0,800005a0,1,0,800005f4,0,0
31,22,14,1004,800005f0,0,979,800005b8,0,21,800005fe,0,1,8000046a,0,1,800004f2,0,1
32,5,4,0,8000045c,0,0,80000462,1,0,8000046a,0,0,80000492,0,0,800004b2,0,0
33,17,11,454,800005f0,0,444,800005b8,0,9,800004b2,0,1,800004c4,0,0,800005fe,0,0
34,7,5,1236,800005f0,0,1208,800005b8,0,28,8000059a,0,0,800005a0,1,0,800005f4,0,0
35,7,5,1150,800005f0,0,1122,800005b8,0,28,8000059a,0,0,800005a0,1,0,800005f4,0,0
36,7,5,1204,800005f0,0,1175,800005b8,0,29,8000059a,0,0,800005a0,1,0,800005f4,0,0
37,22,14,241,800005f0,0,233,800005b8,0,6,800005fe,0,1,80000530,0,1,8000052a,0,0
38,5,4,0,8000045c,0,0,80000462,1,0,8000046a,0,0,80000492,0,0,800004b2,0,0
