subPhaseID,numBranches,numEverTakenBranches,totalMispredicts,topMispPC_0,type_0,misCnt_0,topMispPC_1,type_1,misCnt_1,topMispPC_2,type_2,misCnt_2,topMispPC_3,type_3,misCnt_3,topMispPC_4,type_4,misCnt_4
0,113,80,63,800008cc,0,11,80001216,0,6,8000121c,0,5,800007fe,0,5,800006de,0,3
1,5,4,3,80000174,0,3,80000146,0,0,80000150,2,0,8000017c,0,0,800006a8,4,0
2,5,4,3,80000174,0,3,80000146,0,0,80000150,2,0,8000017c,0,0,800006a8,4,0
3,5,4,3,80000174,0,3,80000146,0,0,80000150,2,0,8000017c,0,0,800006a8,4,0
4,5,4,3,80000174,0,3,80000146,0,0,80000150,2,0,8000017c,0,0,800006a8,4,0
5,5,4,3,80000174,0,3,80000146,0,0,80000150,2,0,8000017c,0,0,800006a8,4,0
6,5,4,3,80000174,0,3,80000146,0,0,80000150,2,0,8000017c,0,0,800006a8,4,0
7,5,4,2,80000174,0,2,80000146,0,0,80000150,2,0,8000017c,0,0,800006a8,4,0
8,5,4,2,80000174,0,2,80000146,0,0,80000150,2,0,8000017c,0,0,800006a8,4,0
9,5,4,4,80000174,0,4,80000146,0,0,80000150,2,0,8000017c,0,0,800006a8,4,0
10,5,4,3,80000174,0,3,80000146,0,0,80000150,2,0,8000017c,0,0,800006a8,4,0
11,5,4,3,80000174,0,3,80000146,0,0,80000150,2,0,8000017c,0,0,800006a8,4,0
12,5,4,2,80000174,0,2,80000146,0,0,80000150,2,0,8000017c,0,0,800006a8,4,0
13,5,4,2,80000174,0,2,80000146,0,0,80000150,2,0,8000017c,0,0,800006a8,4,0
14,5,4,1,80000174,0,1,80000146,0,0,80000150,2,0,8000017c,0,0,800006a8,4,0
15,5,4,2,80000174,0,2,80000146,0,0,80000150,2,0,8000017c,0,0,800006a8,4,0
16,5,4,1,80000174,0,1,80000146,0,0,80000150,2,0,8000017c,0,0,800006a8,4,0
17,5,4,2,80000174,0,2,80000146,0,0,80000150,2,0,8000017c,0,0,800006a8,4,0
18,5,4,1,80000174,0,1,80000146,0,0,80000150,2,0,8000017c,0,0,800006a8,4,0
19,5,4,2,80000174,0,2,80000146,0,0,80000150,2,0,8000017c,0,0,800006a8,4,0
20,5,4,2,80000174,0,2,80000146,0,0,80000150,2,0,8000017c,0,0,800006a8,4,0
21,5,4,1,80000174,0,1,80000146,0,0,80000150,2,0,8000017c,0,0,800006a8,4,0
22,5,4,2,80000174,0,2,80000146,0,0,80000150,2,0,8000017c,0,0,800006a8,4,0
23,5,4,1,80000174,0,1,80000146,0,0,80000150,2,0,8000017c,0,0,800006a8,4,0
24,5,4,2,80000174,0,2,80000146,0,0,80000150,2,0,8000017c,0,0,800006a8,4,0
25,5,4,1,80000174,0,1,80000146,0,0,80000150,2,0,8000017c,0,0,800006a8,4,0
26,5,4,2,80000174,0,2,80000146,0,0,80000150,2,0,8000017c,0,0,800006a8,4,0
27,5,4,1,80000174,0,1,80000146,0,0,80000150,2,0,8000017c,0,0,800006a8,4,0
28,5,4,2,80000174,0,2,80000146,0,0,80000150,2,0,8000017c,0,0,800006a8,4,0
29,5,4,1,80000174,0,1,80000146,0,0,80000150,2,0,8000017c,0,0,800006a8,4,0
30,5,4,2,80000174,0,2,80000146,0,0,80000150,2,0,8000017c,0,0,800006a8,4,0
31,5,4,2,80000174,0,2,80000146,0,0,80000150,2,0,8000017c,0,0,800006a8,4,0
32,8,6,3,80000174,0,2,8000017c,0,1,8000012c,0,0,80000146,0,0,80000150,2,0
33,5,4,3,80000174,0,3,80000146,0,0,80000150,2,0,8000017c,0,0,800006a8,4,0
34,5,4,3,80000174,0,3,80000146,0,0,80000150,2,0,8000017c,0,0,800006a8,4,0
35,5,4,3,80000174,0,3,80000146,0,0,80000150,2,0,8000017c,0,0,800006a8,4,0
36,5,4,3,80000174,0,3,80000146,0,0,80000150,2,0,8000017c,0,0,800006a8,4,0
37,5,4,2,80000174,0,2,80000146,0,0,80000150,2,0,8000017c,0,0,800006a8,4,0
38,5,4,2,80000174,0,2,80000146,0,0,80000150,2,0,8000017c,0,0,800006a8,4,0
39,5,4,1,80000174,0,1,80000146,0,0,80000150,2,0,8000017c,0,0,800006a8,4,0
40,5,4,2,80000174,0,2,80000146,0,0,80000150,2,0,8000017c,0,0,800006a8,4,0
41,5,4,1,80000174,0,1,80000146,0,0,80000150,2,0,8000017c,0,0,800006a8,4,0
42,5,4,2,80000174,0,2,80000146,0,0,80000150,2,0,8000017c,0,0,800006a8,4,0
43,5,4,2,80000174,0,2,80000146,0,0,80000150,2,0,8000017c,0,0,800006a8,4,0
44,5,4,1,80000174,0,1,80000146,0,0,80000150,2,0,8000017c,0,0,800006a8,4,0
45,5,4,2,80000174,0,2,80000146,0,0,80000150,2,0,8000017c,0,0,800006a8,4,0
