pc,type,mispredicts,total,misPermil,dirMiss,tgtMiss,noPredMiss
800005f0,0,30552,76800,397.812,30551,0,1
800005b8,0,603,76800,7.85156,603,0,0
80000174,0,125,25600,4.88281,124,0,1
8000046a,0,54,76800,0.703125,53,0,1
8000121c,0,23,409,56.2347,22,0,1
800007fe,0,21,115,182.609,20,0,1
800008cc,0,19,65,292.308,18,0,1
800005f4,0,14,38016,0.368266,14,0,0
80000646,0,12,522,22.9885,11,0,1
8000126a,0,12,22,545.455,11,0,1
80001216,0,9,409,22.0049,8,0,1
800004b2,0,7,600,11.6667,6,0,1
80000f68,0,6,34,176.471,5,0,1
800005fe,0,6,600,10,6,0,0
8000139a,0,5,11,454.545,4,0,1
800012f0,3,5,11,454.545,0,4,1
8000077e,0,4,4,1000,3,0,1
80000530,0,4,300,13.3333,3,0,1
80000572,0,4,300,13.3333,3,0,1
800018ae,0,4,10,400,3,0,1
80001482,0,3,20,150,2,0,1
800011ba,0,3,533,5.62852,2,0,1
80001438,0,3,20,150,2,0,1
8000017c,0,3,200,15,2,0,1
8000127e,3,3,11,272.727,0,2,1
8000107c,0,3,8,375,2,0,1
800004f2,0,3,6,500,2,0,1
800006de,0,3,4,750,2,0,1
80001112,0,2,8,250,1,0,1
800012dc,0,2,11,181.818,2,0,0
800012cc,0,2,11,181.818,2,0,0
800012c4,0,2,22,90.9091,2,0,0
800004c4,0,2,6,333.333,2,0,0
800013a0,0,2,2,1000,1,0,1
80000f16,0,2,6,333.333,1,0,1
80001020,0,1,4,250,0,0,1
80000f74,0,1,34,29.4118,0,0,1
80001456,0,1,2,500,0,0,1
80000f24,0,1,2,500,0,0,1
8000135a,0,1,11,90.9091,0,0,1
80001084,0,1,8,125,0,0,1
80000aac,0,1,14,71.4286,0,0,1
80000a0e,0,1,14,71.4286,0,0,1
800009bc,0,1,14,71.4286,0,0,1
800010d0,0,1,6,166.667,0,0,1
80001232,0,1,22,45.4545,0,0,1
8000097a,0,1,14,71.4286,0,0,1
80000902,0,1,14,71.4286,0,0,1
8000120e,5,1,387,2.58398,0,0,1
8000141a,0,1,2,500,0,0,1
800007dc,0,1,20,50,0,0,1
800007fc,5,1,115,8.69565,0,0,1
800008d6,0,1,65,15.3846,0,0,1
8000084e,0,1,20,50,0,0,1
8000116a,0,1,6,166.667,0,0,1
80001154,0,1,6,166.667,0,0,1
80001120,0,1,2,500,0,0,1
800014ac,0,1,8,125,1,0,0
800017c4,0,1,5,200,0,0,1
80000346,0,1,6,166.667,0,0,1
800017f6,0,1,5,200,0,0,1
80000492,0,1,76800,0.0130208,0,0,1
80001616,0,1,1,1000,0,0,1
800017ac,0,1,5,200,1,0,0
80001794,0,1,5,200,0,0,1
800015ba,0,1,9,111.111,0,0,1
800003ba,0,1,2,500,0,0,1
800015ea,0,1,9,111.111,0,0,1
80001462,0,1,20,50,0,0,1
800003c8,0,1,2,500,1,0,0
800016b4,0,1,2,500,0,0,1
800015fe,0,1,9,111.111,0,0,1
800017a6,0,0,5,0,0,0,0
80001100,4,0,6,0,0,0,0
80001106,0,0,6,0,0,0,0
800011bc,4,0,11,0,0,0,0
80001136,1,0,6,0,0,0,0
80001780,1,0,8,0,0,0,0
80001778,2,0,8,0,0,0,0
800011de,0,0,11,0,0,0,0
800017b4,0,0,5,0,0,0,0
800010f2,2,0,6,0,0,0,0
800017ba,0,0,5,0,0,0,0
800017d8,1,0,5,0,0,0,0
800010cc,0,0,6,0,0,0,0
800010c4,0,0,6,0,0,0,0
8000183c,1,0,5,0,0,0,0
80001842,1,0,1,0,0,0,0
8000185c,1,0,2,0,0,0,0
8000104e,1,0,6,0,0,0,0
80001894,2,0,11,0,0,0,0
8000189c,4,0,11,0,0,0,0
800018a8,0,0,10,0,0,0,0
80000f4c,1,0,6,0,0,0,0
800018b0,4,0,8,0,0,0,0
80000126,2,0,1,0,0,0,0
800015b0,0,0,9,0,0,0,0
80001472,5,0,20,0,0,0,0
80001446,0,0,2,0,0,0,0
80001486,0,0,2,0,0,0,0
8000142e,0,0,20,0,0,0,0
8000142a,0,0,2,0,0,0,0
800018be,4,0,8,0,0,0,0
